Current Time = 14:59:38
________________________________Current Time = 21:02:44
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:14:40
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 23:22:00
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 00:19:52
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 01:19:21
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 02:14:39
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 03:17:39
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 04:08:34
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 05:13:14
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 06:32:21
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 07:52:26
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 09:11:20
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 10:08:17
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 11:19:41
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 12:20:43
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 13:38:57
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 14:50:19
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 15:44:51
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 16:50:28
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 17:44:42
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 19:04:29
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 20:16:49
Total Items = 82
Sold Items = 53
Available Items = 29
________________________________Current Time = 21:37:10
Total Items = 83
Sold Items = 53
Available Items = 30
________________________________Current Time = 22:49:47
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 23:43:03
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 00:36:26
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 01:32:57
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 02:52:19
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 04:03:17
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 05:14:05
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 06:13:48
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 07:21:13
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 08:26:48
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 09:21:18
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 10:20:53
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 11:34:14
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 12:52:42
Total Items = 24
Sold Items = 0
Available Items = 24
________________________________Current Time = 13:46:17
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 15:04:19
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 16:01:51
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 17:08:30
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 18:12:11
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 19:12:52
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 20:26:57
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 21:33:53
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 22:38:07
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 23:50:06
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 01:10:09
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 02:29:12
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 03:40:12
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 04:53:01
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 05:45:17
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 06:50:30
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 07:59:35
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 09:11:52
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 10:02:18
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 11:10:43
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 12:28:35
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 13:47:28
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 14:42:12
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 15:48:14
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 17:02:05
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 18:11:40
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 19:21:28
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 20:33:42
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 21:48:52
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 22:53:47
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 00:11:41
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 01:19:27
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 02:35:53
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 03:40:21
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 04:41:30
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 13:56:46
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 14:50:18
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 16:04:00
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 17:12:00
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 18:08:43
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 19:08:29
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 20:25:15
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 21:39:46
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________Current Time = 22:56:49
Total Items = 83
Sold Items = 54
Available Items = 29
________________________________
